stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
1956,CLINTON DR @ GREGG ST,,29.76469,-95.33581,,
1957,CLINTON DR @ BRINGHURST ST,,29.76472,-95.33383,,
1958,CLINTON DR @ BRINGHURST ST,,29.76531,-95.33185,,
1959,CLINTON DR @ BRINGHURST ST,,29.76535,-95.32985,,
1960,CLINTON DR @ HIRSCH RD,,29.76535,-95.32775,,
1961,CLINTON DR @ IDA,,29.76539,-95.32555,,
1962,CLINTON DR @ SCHWEIKHARDT ST,,29.765413,-95.323333,,
1963,CLINTON DR @ JAPHET ST,,29.76487,-95.32137,,
1964,CLINTON DR @ JAPHET ST,,29.76437,-95.31838,,
1965,CLINTON DR @ LOCKWOOD DR,,29.763655,-95.315888,,
1966,CLINTON DR @ LOCKWOOD DR,,29.76284,-95.31323,,
1967,CLINTON DR @ LOCKWOOD DR,,29.76223,-95.3111,,
1968,CLINTON DR @ KRESS ST,,29.761534,-95.30867,,
1969,CLINTON DR @ GAZIN,,29.76006,-95.3044,,
1970,CLINTON DR @ LATHROP ST,,29.75857,-95.30163,,
1971,CLINTON DR @ ARMOUR DR,,29.75809,-95.30072,,
1972,CLINTON DR @ ARMOUR DR,,29.757426,-95.299476,,
1973,CLINTON DR @ WAYSIDE DR,,29.756701,-95.295571,,
1974,CLINTON DR @ SSGT MACARIO GARCIA DR,,29.75772,-95.299281,,
1975,CLINTON DR @ LATHROP ST,,29.758649,-95.301078,,
1976,CLINTON DR @ GAZIN,,29.76026,-95.30424,,
1977,CLINTON DR @ KRESS ST,,29.761478,-95.307541,,
1978,CLINTON DR @ KRESS ST,,29.76199,-95.30935,,
1979,CLINTON DR @ KRESS ST,,29.7624,-95.31078,,
1980,CLINTON DR @ KRESS ST,,29.76312,-95.31329,,
1981,CLINTON DR @ LOCKWOOD DR,,29.763664,-95.315193,,
1982,CLINTON DR @ LOCKWOOD DR,,29.76411,-95.31697,,
1983,CLINTON DR @ LOCKWOOD DR,,29.76456,-95.31849,,
1984,CLINTON DR @ JAPHET ST,,29.7649,-95.32103,,
1985,CLINTON DR @ EMILE,,29.765552,-95.324084,,
1986,CLINTON DR @ IDA,,29.76552,-95.32602,,
1987,CLINTON DR @ JUDD ST,,29.76551,-95.32799,,
1988,CLINTON DR @ JUDD ST,,29.76548,-95.33012,,
1989,CLINTON DR @ JUDD ST,,29.76545,-95.33175,,
1990,CLINTON DR @ BRINGHURST ST,,29.76487,-95.33363,,
1991,CLINTON DR @ GREGG ST,,29.76484,-95.33546,,
1992,CLINTON DR @ BAYOU ST,,29.7648,-95.33717,,
1993,CLINTON DR @ MEADOW ST,,29.76477,-95.33928,,
1994,CLINTON DR @ MEADOW ST,,29.76472,-95.34199,,
1995,NAVIGATION BLVD @ WAYSIDE DR,,29.745127,-95.302735,,
1996,NAVIGATION BLVD @ CESAR CHAVEZ BLVD,,29.745816,-95.304628,,
1997,NAVIGATION BLVD @ TERMINAL ST,,29.746683,-95.307198,,
1998,NAVIGATION BLVD @ TERMINAL ST,,29.74734,-95.309281,,
1999,NAVIGATION BLVD @ MC FARLAND ST,,29.747738,-95.310844,,
2000,NAVIGATION BLVD @ MC FARLAND ST,,29.747965,-95.312889,,
2001,NAVIGATION BLVD @ PORTWOOD ST,,29.747936,-95.316452,,
2002,NAVIGATION BLVD @ BAYWOOD ST,,29.748461,-95.318115,,
2003,NAVIGATION BLVD @ ENGEL,,29.749982,-95.320065,,
2004,NAVIGATION BLVD @ BRYAN ST,,29.750596,-95.321923,,
2005,NAVIGATION BLVD @ SIDNEY ST,,29.753235,-95.328987,,
